BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
M/s Integrated Rubian Exports Ltd.,.,Aroor,Kerala,1535,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
M/s Integrated Rubian Exports Ltd.,.,Aroor,Kerala,1535,"Processed crustaceans, CN 1605",IN,India
M/s Jagadeesh Marine Exports,"1-174, KOMARADA ROAD",Rayalam Village,Andhra Pradesh,999,"Shrimps, CN 0306",IN,India
M/s Jagdish Marine Exports,"47-48, GIDC Estate-362269",Veraval,Gujarat,1145,FFP (fishery products),IN,India
M/s Jayalakshmi Seafoods Pvt Ltd,.,Bhimavaram,Andhra Pradesh,924,FFP (fishery products),IN,India
M/s Koluthara Exports Limited,"P.B. No.7, Keltron Road",Aroor,Kerala,605,FFP (fishery products),IN,India
M/s Milesh Marine Exports Pvt. Ltd.,.,Kruthivennu Mandal,Andhra Pradesh,1862,"Shrimps, CN 0306",IN,India
M/s Moon Fishery(India) Pvt. Ltd.,Chemical Industrial Estate,Aroor,Kerala,767,"Fish fillets, CN 0304",IN,India
M/s Naik Frozen Foods Pvt. Ltd.,.,Taloja,Maharashtra,276,"Shrimps, CN 0306",IN,India
M/s Naik Oceanic Exports Pvt. Ltd.,.,Taloja,Maharashtra,1120,FFP (fishery products),IN,India
M/s Nekkanti Sea Foods Limited,.,Ravulapalem,Andhra Pradesh,864,FFP (fishery products),IN,India
M/s Nekkanti Sea Foods Ltd.,.,Vishakapatnam,Andhra Pradesh,882,FFP (fishery products),IN,India
M/s Royale Marine Impex Pvt. Ltd.,.,Kavurivaripalem,Andhra Pradesh,1837,"Shrimps, CN 0306",IN,India
M/s S.K. Exports (Pvt) Limited,"246, LEWIS ROAD",Bhubaneswar,Orissa,396,"Shrimps, CN 0306",IN,India
M/s Sandhya Aqua Exports Pvt. Ltd.,Kurumaddali Village,Pamarru,Andhra Pradesh,830,FFP (fishery products),IN,India
M/s Sasoondock Matsyodhyog Sahakari Society Ltd.,.,Raigad,Maharashtra,1128,FFP (fishery products),IN,India
M/s Theva & Co.,"3/52/B Krishnarajapuran, Tuticorin, 628002 Tamil Nadu",Pudukotai,Tamil Nadu,941,"Shrimps, CN 0306 and 1605",IN,India
M/s Wellcome Fisheries Ltd.,"1/136 VANDRAM VILLAGE, UNDI MANDAL",Bhimavaram,Andhra Pradesh,934,FFP (fishery products),IN,India
M/s West Coast Frozen Foods Pvt. Ltd.,.,Surat,Gujarat,1139,FFP (fishery products),IN,India
M/S. ASVINI FISHERIES PRIVATE LIMITED,"R.S.No. 626/1, Dirusumaru Road, P.B.No. 52, Bhimavaram, West Godavari Disrict 534239",Godavari,Andhra Pradesh,920,"Shrimps, CN 0306",IN,India
M/s. Coastal Aqua Private Limited,"1-164, Patharlagadda",Kakinada,Andhra Pradesh,1866,FFP (fishery products),IN,India
M/s. Kiefer Sea Foods,.,Tuticorin,Tamil Nadu,1842,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
M/s. Veerabhadra Exports Private Limited,"Survey No.116, Gurajanapalli, Karapa (Mandal), East Godavari District- 533 016",Kakinada,Andhra Pradesh,1847,FFP (fishery products),IN,India
Mash International Pvt. Ltd.,"A-31, INDUSTRIAL AREA, BANTHER",Unnao,Uttar Pradesh,CAPEXIL/NR/PLANT REGISTRATION/BP/2010-2011/20,Dog chews,IN,India
MASH INTERNATIONAL PVT.LTD.,"A-31, INDUSTRIAL AREA, BANTHER,",Unnao,Uttar Pradesh,CAPEXIL/NR/PAC/ABP-PET/1516/033,"Petfood, CN 230910",IN,India
CV. Pasific Harvest,Jl Tratas N° 61,Banyuwangi,Jawa Timur,538.13.B/C,FFP (fishery products),ID,Indonesia
PT. Banyuwangi Cannery Indonesia,"JL. RAYA SITUBONDO KM 12,5 KETAPANG-BANYUWANGI",Banyuwangi,Jawa Timur,584.13.B/C,"FFP, excluding molluscs and crustaceans",ID,Indonesia
PT. Dharma Samudera Fishing Industries,"JL Laks. R.E. Martadinata 1, Tanjung Priok",Jakarta Utara,Jakarta,024.10.A/B,"Tuna fillets, CN 0304",ID,Indonesia
PT. Marindo Makmur Usahajaya,"Jl. Muncul Industri II Gedangan, Sidoarjo",Sidoarjo,Jawa Timur,431.13.A/B,Fresh tuna,ID,Indonesia
Maof Maayan Yasca,.,Be'Er Toviyya,HaDarom,3,PM (fresh meat of poultry and lagomorphs),IL,Israel
Soglowek (Shlomi) Ltd.,.,Shelomi,HaZafon,19,"meat and edible offal of poultry, CN 0207",IL,Israel
